date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:16:38	53160/53160	---M--	200	added ('OK')	image/jpeg	etag:%225c28a126-cfa8%22	https://colorlib.com/preview/theme/mona/img/bg-img/1.jpg	C:/My%20Web%20Sites/angel%20again/colorlib.com/preview/theme/mona/img/bg-img/1.jpg	(from https://colorlib.com/preview/theme/mona/)
00:16:39	85578/85578	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c289ebd-14e4a%22	https://colorlib.com/preview/theme/mona/js/jquery.min.js	C:/My%20Web%20Sites/angel%20again/colorlib.com/preview/theme/mona/js/jquery.min.js	(from https://colorlib.com/preview/theme/mona/)
00:16:39	47691/47691	---M--	200	added ('OK')	image/jpeg	etag:%225c28a180-ba4b%22	https://colorlib.com/preview/theme/mona/img/bg-img/2.jpg	C:/My%20Web%20Sites/angel%20again/colorlib.com/preview/theme/mona/img/bg-img/2.jpg	(from https://colorlib.com/preview/theme/mona/)
00:16:39	20611/20611	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c289eca-5083%22	https://colorlib.com/preview/theme/mona/js/popper.min.js	C:/My%20Web%20Sites/angel%20again/colorlib.com/preview/theme/mona/js/popper.min.js	(from https://colorlib.com/preview/theme/mona/)
00:16:40	51039/51039	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c289eac-c75f%22	https://colorlib.com/preview/theme/mona/js/bootstrap.min.js	C:/My%20Web%20Sites/angel%20again/colorlib.com/preview/theme/mona/js/bootstrap.min.js	(from https://colorlib.com/preview/theme/mona/)
00:16:41	205530/205530	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c289ed4-322da%22	https://colorlib.com/preview/theme/mona/js/mona.bundle.js	C:/My%20Web%20Sites/angel%20again/colorlib.com/preview/theme/mona/js/mona.bundle.js	(from https://colorlib.com/preview/theme/mona/)
00:16:41	6770/6770	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c28a26e-1a72%22	https://colorlib.com/preview/theme/mona/js/default-assets/active.js	C:/My%20Web%20Sites/angel%20again/colorlib.com/preview/theme/mona/js/default-assets/active.js	(from https://colorlib.com/preview/theme/mona/)
00:16:42	12213/12213	---MCZ	200	added ('OK')	application/javascript	etag:W/%225db8506d-2fb5%22	https://ajax.cloudflare.com/cdn-cgi/scripts/95c75768/cloudflare-static/rocket-loader.min.js	C:/My%20Web%20Sites/angel%20again/ajax.cloudflare.com/cdn-cgi/scripts/95c75768/cloudflare-static/rocket-loader.min.js	(from https://colorlib.com/preview/theme/mona/)
00:16:43	4075/4075	---MCZ	200	added ('OK')	text/css	etag:W/%225c28a0db-feb%22	https://colorlib.com/preview/theme/mona/css/default-assets/hkgrotesk-fonts.css	C:/My%20Web%20Sites/angel%20again/colorlib.com/preview/theme/mona/css/default-assets/hkgrotesk-fonts.css	(from https://colorlib.com/preview/theme/mona/style.css)
00:16:43	140936/140936	---MCZ	200	added ('OK')	text/css	etag:W/%225c2892e8-22688%22	https://colorlib.com/preview/theme/mona/css/bootstrap.min.css	C:/My%20Web%20Sites/angel%20again/colorlib.com/preview/theme/mona/css/bootstrap.min.css	(from https://colorlib.com/preview/theme/mona/style.css)
00:16:44	57095/57095	---MCZ	200	added ('OK')	text/css	etag:W/%225c2892e3-df07%22	https://colorlib.com/preview/theme/mona/css/animate.css	C:/My%20Web%20Sites/angel%20again/colorlib.com/preview/theme/mona/css/animate.css	(from https://colorlib.com/preview/theme/mona/style.css)
00:16:45	22291/22291	---MCZ	200	added ('OK')	text/css	etag:W/%225c28a0de-5713%22	https://colorlib.com/preview/theme/mona/css/default-assets/classy-nav.css	C:/My%20Web%20Sites/angel%20again/colorlib.com/preview/theme/mona/css/default-assets/classy-nav.css	(from https://colorlib.com/preview/theme/mona/style.css)
00:16:45	2937/2937	---MCZ	200	added ('OK')	text/css	etag:W/%225c2892f0-b79%22	https://colorlib.com/preview/theme/mona/css/owl.carousel.min.css	C:/My%20Web%20Sites/angel%20again/colorlib.com/preview/theme/mona/css/owl.carousel.min.css	(from https://colorlib.com/preview/theme/mona/style.css)
00:16:46	6951/6951	---MCZ	200	added ('OK')	text/css	etag:W/%225c2892ef-1b27%22	https://colorlib.com/preview/theme/mona/css/magnific-popup.css	C:/My%20Web%20Sites/angel%20again/colorlib.com/preview/theme/mona/css/magnific-popup.css	(from https://colorlib.com/preview/theme/mona/style.css)
00:16:47	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%225c2892ed-7918%22	https://colorlib.com/preview/theme/mona/css/font-awesome.min.css	C:/My%20Web%20Sites/angel%20again/colorlib.com/preview/theme/mona/css/font-awesome.min.css	(from https://colorlib.com/preview/theme/mona/style.css)
00:16:47	1711/1711	---MCZ	200	added ('OK')	text/css	etag:W/%225c28a0dd-6af%22	https://colorlib.com/preview/theme/mona/css/default-assets/slick.css	C:/My%20Web%20Sites/angel%20again/colorlib.com/preview/theme/mona/css/default-assets/slick.css	(from https://colorlib.com/preview/theme/mona/style.css)
00:16:49	25237/25237	---MCZ	200	added ('OK')	text/css	etag:W/%225c2892f2-6295%22	https://colorlib.com/preview/theme/mona/css/style.css	C:/My%20Web%20Sites/angel%20again/colorlib.com/preview/theme/mona/css/style.css	(from https://colorlib.com/preview/theme/mona/style.css)
00:16:51	133723/133723	---M--	200	added ('OK')	image/jpeg	etag:%225c28a196-20a5b%22	https://colorlib.com/preview/theme/mona/img/bg-img/21.jpg	C:/My%20Web%20Sites/angel%20again/colorlib.com/preview/theme/mona/img/bg-img/21.jpg	(from https://colorlib.com/preview/theme/mona/about.html)
00:16:51	28510/28510	---M--	200	added ('OK')	image/jpeg	etag:%225c28a197-6f5e%22	https://colorlib.com/preview/theme/mona/img/bg-img/22.jpg	C:/My%20Web%20Sites/angel%20again/colorlib.com/preview/theme/mona/img/bg-img/22.jpg	(from https://colorlib.com/preview/theme/mona/about.html)
00:16:52	30005/30005	---M--	200	added ('OK')	image/jpeg	etag:%225c28a19f-7535%22	https://colorlib.com/preview/theme/mona/img/bg-img/23.jpg	C:/My%20Web%20Sites/angel%20again/colorlib.com/preview/theme/mona/img/bg-img/23.jpg	(from https://colorlib.com/preview/theme/mona/about.html)
00:16:52	53048/53048	---M--	200	added ('OK')	image/jpeg	etag:%225c28a1a4-cf38%22	https://colorlib.com/preview/theme/mona/img/bg-img/24.jpg	C:/My%20Web%20Sites/angel%20again/colorlib.com/preview/theme/mona/img/bg-img/24.jpg	(from https://colorlib.com/preview/theme/mona/about.html)
00:16:54	45116/45116	---M--	200	added ('OK')	image/jpeg	etag:%225c28a1b0-b03c%22	https://colorlib.com/preview/theme/mona/img/bg-img/25.jpg	C:/My%20Web%20Sites/angel%20again/colorlib.com/preview/theme/mona/img/bg-img/25.jpg	(from https://colorlib.com/preview/theme/mona/about.html)
00:16:55	45040/45040	---M--	200	added ('OK')	image/jpeg	etag:%225c28a1ea-aff0%22	https://colorlib.com/preview/theme/mona/img/bg-img/31.jpg	C:/My%20Web%20Sites/angel%20again/colorlib.com/preview/theme/mona/img/bg-img/31.jpg	(from https://colorlib.com/preview/theme/mona/projects.html)
00:16:55	41491/41491	---M--	200	added ('OK')	image/jpeg	etag:%225c28a1ef-a213%22	https://colorlib.com/preview/theme/mona/img/bg-img/32.jpg	C:/My%20Web%20Sites/angel%20again/colorlib.com/preview/theme/mona/img/bg-img/32.jpg	(from https://colorlib.com/preview/theme/mona/projects.html)
00:16:57	126136/126136	---M--	200	added ('OK')	image/jpeg	etag:%225c28a204-1ecb8%22	https://colorlib.com/preview/theme/mona/img/bg-img/33.jpg	C:/My%20Web%20Sites/angel%20again/colorlib.com/preview/theme/mona/img/bg-img/33.jpg	(from https://colorlib.com/preview/theme/mona/projects.html)
00:16:57	103865/103865	---M--	200	added ('OK')	image/jpeg	etag:%225c28a1ff-195b9%22	https://colorlib.com/preview/theme/mona/img/bg-img/34.jpg	C:/My%20Web%20Sites/angel%20again/colorlib.com/preview/theme/mona/img/bg-img/34.jpg	(from https://colorlib.com/preview/theme/mona/projects.html)
00:17:01	83620/83620	---M--	200	added ('OK')	image/jpeg	etag:%225c28a20e-146a4%22	https://colorlib.com/preview/theme/mona/img/bg-img/35.jpg	C:/My%20Web%20Sites/angel%20again/colorlib.com/preview/theme/mona/img/bg-img/35.jpg	(from https://colorlib.com/preview/theme/mona/projects.html)
00:17:02	43521/43521	---M--	200	added ('OK')	image/jpeg	etag:%225c28a20b-aa01%22	https://colorlib.com/preview/theme/mona/img/bg-img/36.jpg	C:/My%20Web%20Sites/angel%20again/colorlib.com/preview/theme/mona/img/bg-img/36.jpg	(from https://colorlib.com/preview/theme/mona/projects.html)
00:17:03	73654/73654	---M--	200	added ('OK')	image/jpeg	etag:%225c28a214-11fb6%22	https://colorlib.com/preview/theme/mona/img/bg-img/37.jpg	C:/My%20Web%20Sites/angel%20again/colorlib.com/preview/theme/mona/img/bg-img/37.jpg	(from https://colorlib.com/preview/theme/mona/projects.html)
00:17:05	37738/37738	---M--	200	added ('OK')	image/jpeg	etag:%225c28a21a-936a%22	https://colorlib.com/preview/theme/mona/img/bg-img/38.jpg	C:/My%20Web%20Sites/angel%20again/colorlib.com/preview/theme/mona/img/bg-img/38.jpg	(from https://colorlib.com/preview/theme/mona/projects.html)
00:17:05	57724/57724	---M--	200	added ('OK')	image/jpeg	etag:%225c28a227-e17c%22	https://colorlib.com/preview/theme/mona/img/bg-img/39.jpg	C:/My%20Web%20Sites/angel%20again/colorlib.com/preview/theme/mona/img/bg-img/39.jpg	(from https://colorlib.com/preview/theme/mona/projects.html)
00:17:07	53970/53970	---M--	200	added ('OK')	image/jpeg	etag:%225c28a229-d2d2%22	https://colorlib.com/preview/theme/mona/img/bg-img/40.jpg	C:/My%20Web%20Sites/angel%20again/colorlib.com/preview/theme/mona/img/bg-img/40.jpg	(from https://colorlib.com/preview/theme/mona/projects.html)
00:17:09	78684/78684	---M--	200	added ('OK')	image/jpeg	etag:%225c28a1b7-1335c%22	https://colorlib.com/preview/theme/mona/img/bg-img/26.jpg	C:/My%20Web%20Sites/angel%20again/colorlib.com/preview/theme/mona/img/bg-img/26.jpg	(from https://colorlib.com/preview/theme/mona/models.html)
00:17:09	89312/89312	---M--	200	added ('OK')	image/jpeg	etag:%225c28a1cd-15ce0%22	https://colorlib.com/preview/theme/mona/img/bg-img/27.jpg	C:/My%20Web%20Sites/angel%20again/colorlib.com/preview/theme/mona/img/bg-img/27.jpg	(from https://colorlib.com/preview/theme/mona/models.html)
00:17:10	33105/33105	---M--	200	added ('OK')	image/jpeg	etag:%225c28a1d5-8151%22	https://colorlib.com/preview/theme/mona/img/bg-img/29.jpg	C:/My%20Web%20Sites/angel%20again/colorlib.com/preview/theme/mona/img/bg-img/29.jpg	(from https://colorlib.com/preview/theme/mona/models.html)
00:17:10	109856/109856	---M--	200	added ('OK')	image/jpeg	etag:%225c28a1d3-1ad20%22	https://colorlib.com/preview/theme/mona/img/bg-img/28.jpg	C:/My%20Web%20Sites/angel%20again/colorlib.com/preview/theme/mona/img/bg-img/28.jpg	(from https://colorlib.com/preview/theme/mona/models.html)
00:17:10	65962/65962	---M--	200	added ('OK')	image/jpeg	etag:%225c28a148-101aa%22	https://colorlib.com/preview/theme/mona/img/bg-img/15.jpg	C:/My%20Web%20Sites/angel%20again/colorlib.com/preview/theme/mona/img/bg-img/15.jpg	(from https://colorlib.com/preview/theme/mona/models.html)
00:17:11	30176/30176	---M--	200	added ('OK')	image/jpeg	etag:%225c28a1de-75e0%22	https://colorlib.com/preview/theme/mona/img/bg-img/30.jpg	C:/My%20Web%20Sites/angel%20again/colorlib.com/preview/theme/mona/img/bg-img/30.jpg	(from https://colorlib.com/preview/theme/mona/casting.html)
00:17:12	66027/66027	---M--	200	added ('OK')	image/jpeg	etag:%225c28a22e-101eb%22	https://colorlib.com/preview/theme/mona/img/bg-img/41.jpg	C:/My%20Web%20Sites/angel%20again/colorlib.com/preview/theme/mona/img/bg-img/41.jpg	(from https://colorlib.com/preview/theme/mona/blog.html)
00:17:12	71088/71088	---M--	200	added ('OK')	image/jpeg	etag:%225c28a243-115b0%22	https://colorlib.com/preview/theme/mona/img/bg-img/42.jpg	C:/My%20Web%20Sites/angel%20again/colorlib.com/preview/theme/mona/img/bg-img/42.jpg	(from https://colorlib.com/preview/theme/mona/blog.html)
00:17:14	111059/111059	---M--	200	added ('OK')	image/jpeg	etag:%225c28a239-1b1d3%22	https://colorlib.com/preview/theme/mona/img/bg-img/43.jpg	C:/My%20Web%20Sites/angel%20again/colorlib.com/preview/theme/mona/img/bg-img/43.jpg	(from https://colorlib.com/preview/theme/mona/blog.html)
